"STUDY_ID","REVIEWERS","INCLUDE","X","INCLUDE_nina","Title","Abstract.Note","Publication.Year","DOI","INCLUDE_jonas","INCLUDE_joep"
45,"nina","not vetted",133,"YES","complementary water quality observations from high and medium resolution sentinel sensors by aligning chlorophyll-a and turbidity algorithms","high resolution imaging spectrometers are prerequisite to address significant data gaps in inland optical water quality monitoring. in this work, we provide a data-driven alignment of chlorophyll-a and turbidity derived from the sentinel-2 multispectral imager (msi) with corresponding sentinel-3 ocean and land colour instrument (olci) products. for chlorophyll-a retrieval, empirical ‘ocean colour’ blue-green band ratios and a near infra-red (nir) band ratio algorithm, as well as a semi-analytical three-band nir-red ratio algorithm, were included in the analysis. six million co-registrations with msi and olci spanning 24 lakes across five continents were analysed. following atmospheric correction with polymer, the reflectance distributions of the red and nir bands showed close similarity between the two sensors, whereas the distribution for blue and green bands was positively skewed in the msi results compared to olci. whilst it is not possible from this analysis to determine the accuracy of reflectance retrieved with either msi or olci results, optimizing water quality algorithms for msi against those previously derived for the envisat medium resolution imaging spectrometer (meris) and its follow-on olci, supports the wider use of msi for aquatic applications. chlorophyll-a algorithms were thus tuned for msi against concurrent olci observations, resulting in significant improvements against the original algorithm coefficients. the mean absolute difference (mad) for the blue-green band ratio algorithm decreased from 1.95 mg m−3 to 1.11 mg m−3, whilst the correlation coefficient increased from 0.61 to 0.80. for the nir-red band ratio algorithms improvements were modest, with the mad decreasing from 4.68 to 4.64 mg m−3 for the empirical red band ratio algorithm, and 3.73 to 3.67 for the semi-analytical 3-band algorithm. three implementations of the turbidity algorithm showed improvement after tuning with the resulting distributions having reduced bias. the mad reduced from 0.85 to 0.72, 1.22 to 1.10 and 1.93 to 1.55 fnu for the 665, 708 and 778 nm implementations respectively. however, several sources of uncertainty remain: adjacent land showed high divergence between the sensors, suggesting that high product uncertainty near land continues to be an issue for small water bodies, while it cannot be stated at this point whether msi or olci results are differentially affected. the effect of spectrally wider bands of the msi on algorithm sensitivity to chlorophyll-a and turbidity cannot be fully established without further availability of in situ optical measurements.",2021,"10.1016/j.rse.2021.112651","YES","YES"
46,"nina","not vetted",135,"YES","predicting energy poverty with combinations of remote-sensing and socioeconomic survey data in india: evidence from machine learning","identifying energy poverty and targeting interventions require up-to-date and comprehensive survey data, which are expensive, time-consuming, and difficult to conduct, especially in rural areas of developing countries. this paper examined the potential of satellite remote sensing data in energy poverty prediction combined with socioeconomic survey data in response to these challenges. we found that a machine learning algorithm incorporating geographical and environmental remotely collected indicators could identify 90.91% of the districts with high energy poverty and performs better than those using socioeconomic indicators only. specifically, precipitation and fine particulate matter (pm2.5) offer the most significant contribution. moreover, the algorithm, which was trained using a dataset from 2015, could also perform well to predict energy poverty using two environment indicators: precipitation and pm2.5 concentration.",2021,"10.1016/j.eneco.2021.105510","YES","YES"
47,"nina","not vetted",137,"YES","wavelet-based 3-phase hybrid svr model trained with satellite-derived predictors, particle swarm optimization and maximum overlap discrete wavelet transform for solar radiation prediction","the accurate prediction of global solar radiation (gsr) with remote sensing in metropolitan, regional and remote, yet solar-rich sites, is a core requisite for cleaner energy utilization, monitoring and conversion of renewable energy into usable power. data-driven models that investigate the feasibility of solar-fueled energies, face challenges in respect to identifying their appropriate input data as such variables may not be available at all sites due to a lack of environmental monitoring system. in this paper, the moderate resolution imaging spectroradiometer (modis) satellite-derived predictors are employed to train three-phase hybrid svr model for monthly gsr prediction. firstly, to acquire relevant model input features, modis variables are screened with the particle swarm optimization (pso) algorithm, and secondly, a gaussian emulation method of sensitivity analysis is incorporated on all screened variables to ascertain their relative role in predicting gsr. to address pertinent issues of non-stationarities, pso selected variables are decomposed with maximum overlap discrete wavelet transformation prior to its incorporation in support vector regression (svr), constructing a three-phase pso-w-svr hybrid model where the hyper-parameters are acquired by evolutionary (i.e., pso & genetic algorithm) and grid search methods. three-phase pso-w-svr hybrid model is benchmarked with alternative machine learning models. thirty-nine model scenarios are formulated: 13 without feature selection (e.g., svr), 13 with feature selection (e.g., pso-svr for two-phase models) and the remainder 13 with feature selection strategy coupled with data decomposition algorithm (e.g., pso-w-svr leading to a three-phase model). metrics such as skill score (rmsess), root mean square error (rmse), mean absolute error (mae), willmott’s (wi), legates & mccabe’s (e1) and nash–sutcliffe coefficients (ens) are applied to comprehensively evaluate prescribed models. empirical results register high performance of three-phase hybrid pso-w-svr models, exceeding the prescribed alternative models. high predictive ability evidenced by a low rrmse and high e1 ascertains pso-w-svr hybrid model as considerably favorable in its capability to be enriched by modis satellite-derived variables. maximum overlap discrete wavelet transform algorithm is also seen to provide resolved patterns in satellite variables, leading to a superior performance compared to the other data-driven model. the research avers that a three-phase hybrid pso-w-svr model can be a viable tool to predict gsr using satellite derived data as predictors, and is particularly useful for exploration of renewable energies where satellite footprint are present but regular environmental monitoring systems may be absent.",2019,"10.1016/j.rser.2019.109247","YES","YES"
48,"nina","not vetted",150,"YES","driven by drones: improving mangrove extent maps using high-resolution remote sensing","this study investigated how different remote sensing techniques can be combined to accurately monitor mangroves. in this paper, we present a framework to use drone imagery to calculate correction factors which can improve the accuracy of satellite-based mangrove extent. we focus on semi-arid dwarf mangroves of baja california sur, mexico, where the mangroves tend to be stunted in height and found in small patches, as well as larger forests. using a dji phantom 4 pro, we imaged mangroves and labeled the extent by manual classification in qgis. using arcgis, we compared satellite-based mangrove extent maps from global mangrove watch (gmw) in 2016 and mexico’s national government agency (national commission for the knowledge and use of biodiversity, conabio) in 2015, with extent maps generated from in situ drone studies in 2018 and 2019. we found that satellite-based extent maps generally overestimated mangrove coverage compared to that of drone-based maps. to correct this overestimation, we developed a method to derive correction factors for gmw mangrove extent. these correction factors correspond to specific pixel patterns generated from a convolution analysis and mangrove coverage defined from drone imagery. we validated our model by using repeated k-fold cross-validation, producing an accuracy of 98.3% ± 2.1%. overall, drones and satellites are complementary tools, and the rise of machine learning can help stakeholders further leverage the strengths of the two tools, to better monitor mangroves for local, national, and international management.",2020,"10.3390/rs12233986","YES","YES"
49,"nina","not vetted",157,"YES","smetool: a web-based tool for soil moisture estimation based on eo-learn framework and machine learning methods","earth observation (eo) technologies have played an increasingly important role in monitoring the sustainable development goals (sdg). these technologies often combined with machine learning (ml) models provide efficient means for achieving the sdgs. the great progress of this combination is also demonstrated by the large number of software, web tools and packages that have been made available for free use. in this paper, we introduce a software architecture to facilitate the generation of eo information targeted towards soil moisture that derive several challenges regarding the facilitation of satellite data processing. thus, this paper presents a web-based tool for soil moisture estimation (smetool), designed for the soil moisture estimation using sentinel-1a and sentinel-2a data based on eo-learn library. smetool implements several ml techniques such as (artificial neural network (ann), random forest (rf), convolutional neural network (cnn), etc.). the smetool could be very useful for decision makers in the region in assessing the effects of drought and desertification events. experiments were carried out on two sites in tunisia during the period from 2016 to 2017. although the performance of the used models is very close, it is clear that cnn and rf outperformed other ml models. the achieved results reveal that the soil moisture, was highly correlated to the in-situ measurements with high pearson’s correlation coefficient r (rrf=0.86, rann=0.75, rxgboost=0.79, rcnn=0.87) and low root mean square error (rmse) (rmserf = 1.09%, rmseann = 1.49%, rmsexgboost = 1.39%, rmsecnn = 1.12%), respectively.",2022,"10.1016/j.envsoft.2022.105505","YES","YES"
50,"nina","not vetted",163,"YES","towards user-adaptive remote sensing: knowledge-driven automatic classification of sentinel-2 time series","land cover mapping over large areas is essential to address a wide spectrum of socio-environmental challenges. for this reason, many global or regional land cover products are regularly released to the scientific community. yet, the remote sensing community has not fully addressed the challenge to extract useful information from vast volumes of satellite data. especially, major limitations concern the use of inadequate classification schemes and “black box” methods that may not match with end-users conceptualization of geographic features. in this paper, we introduce a knowledge-driven methodological approach to automatically process sentinel-2 time series in order to produce pre-classifications that can be adapted by end-users to match their requirements. the approach relies on a conceptual framework inspired from ontologies of scientific observation and geographic information to describe the representation of geographic entities in remote sensing images. the implementation consists in a three-stage classification system including an initial stage, a dichotomous stage and a modular stage. at each stage, the system firstly relies on natural language semantic descriptions of time series of spectral signatures before assigning labels of land cover classes. the implementation was tested on 75 time series of sentinel-2 images (i.e. 2069 images) in the southern brazilian amazon to map natural vegetation and water bodies as required by a local end-user, i.e. a non-governmental organization. the results confirmed the potential of the method to accurately detect water bodies (f-score = 0.874 for bodies larger than 10 m) and map natural vegetation (max f-score = 0.875), yet emphasizing the spatial heterogeneity of accuracy results. in addition, it proved to be efficient to provide rapid estimates of degraded riparian forests at watershed level (r2 = 0.871). finally, we discuss potential improvements both in the system's implementation, e.g. considering additional characteristics, and in the conceptual framework, e.g. moving from pixel- to object-based image analysis and evolving towards a hybrid system combining data- and knowledge-driven approaches.",2021,"10.1016/j.rse.2021.112615","YES","YES"
51,"nina","not vetted",164,"YES","combining object-based machine learning with long-term time-series analysis for informal settlement identification","informal settlement mapping is essential for planning, as well as resource and utility management. developing efficient ways of determining the properties of informal settlements (when, where, and who) is critical for upgrading services and planning. remote sensing data are increasingly used to understand built environments. in this study, we combine two sources of data, very-high-resolution imagery and time-series landsat data, to identify and describe informal settlements. the indicators characterising informal settlements were grouped into four different spatial and temporal levels: environment, settlement, object and time. these indicators were then used in an object-based machine learning (ml) workflow to identify informal settlements. the proposed method had a 95% overall accuracy at mapping informal settlements. among the spatial and temporal levels examined, the contribution of the settlement level indicators was most significant in the ml model, followed by the object-level indicators. whilst the temporal level did not contribute greatly to the classification of informal settlements, it provided a way of understanding when the settlements were formed. the adaptation of this method would allow the combination of a wide-ranging and diverse group of indicators in a comprehensive ml framework.",2022,"10.3390/rs14051226","YES","YES"
52,"nina","not vetted",165,"YES","mapping agricultural landuse patterns from time series of landsat 8 using random forest based hierarchial approach","increase in irrigated area, driven by demand for more food production, in the semi-arid regions of asia and africa is putting pressure on the already strained available water resources. to cope and manage this situation, monitoring spatial and temporal dynamics of the irrigated area land use at basin level is needed to ensure proper allocation of water. publicly available satellite data at high spatial resolution and advances in remote sensing techniques offer a viable opportunity. in this study, we developed a new approach using time series of landsat 8 (l8) data and random forest (rf) machine learning algorithm by introducing a hierarchical post-processing scheme to extract key land use land cover (lulc) types. we implemented this approach for mashhad basin in iran to develop a lulc map at 15 m spatial resolution with nine classes for the crop year 2015/2016. in addition, five irrigated land use types were extracted for three crop years—2013/2014, 2014/2015, and 2015/2016—using the rf models. the total irrigated area was estimated at 1796.16 km2, 1581.7 km2 and 1578.26 km2 for the cropping years 2013/2014, 2014/2015 and 2015/2016, respectively. the overall accuracy of the final lulc map was 87.2% with a kappa coefficient of 0.85. the methodology was implemented using open data and open source libraries. the ability of the rf models to extract key lulc types at basin level shows the usability of such approaches for operational near real time monitoring.",2019,"10.3390/rs11050601","YES","YES"
53,"nina","not vetted",166,"YES","rice phenology classification based on random forest algorithm for data imbalance using google earth engine","the agricultural sector is one of the important sectors in the world and has a very significant contribution to the achievement of the sustainable development goals (sdgs) program. in the sdgs, attention to food security is focused on the second key indicator namely zero hunger (sdg 2). availability of accurate rice production data is required to measure the level of food security. this can be done by monitoring the growth phase of a food plant which is called rice phenology classification. we used random forest (rf) algorithm on the google earth engine (gee) platform in lamongan regency, east java in 2019 to classify rice phenology from landsat-8 satellite imagery, which has the characteristics of imbalance case. to deal with the imbalanced issue, an oversampling technique was used for sampling minority classes. reference data for the classification model training were collected from the area sampling framework survey published by statistics indonesia in 2019. the results showed that the overall accuracy (oa) using rf algorithm by modifying the dataset using oversampling was 81.46% and the kappa statistic (κ) was 0.76, outperforming the rf technique without oversampling.",2022,"10.1016/j.procs.2021.12.201","YES","YES"
54,"nina","not vetted",167,"YES","integrating unsupervised machine intelligence and anomaly detection for spatio-temporal dynamic mapping using remote sensing image series","the synergistic use of remote sensing and unsupervised machine learning has emerged as a potential tool for addressing a variety of environmental monitoring applications, such as detecting disaster-affected areas and deforestation. this paper proposes a new machine-intelligent approach to detecting and characterizing spatio-temporal changes on the earth’s surface by using remote sensing data and unsupervised learning. our framework was designed to be fully automatic by integrating unsupervised anomaly detection models, remote sensing image series, and open data extracted from the google earth engine platform. the methodology was evaluated by taking both simulated and real-world environmental data acquired from several imaging sensors, including landsat-8 oli, sentinel-2 msi, and terra modis. the experimental results were measured with the kappa and f1-score metrics, and they indicated an assertiveness level of 0.85 for the change detection task, demonstrating the accuracy and robustness of the proposed approach when addressing distinct environmental monitoring applications, including the detection of disaster-affected areas and deforestation mapping.",2023,"10.3390/su15064725","YES","YES"
55,"nina","not vetted",175,"YES","land use land cover change detection and urban sprawl prediction for kuwait metropolitan region, using multi-layer perceptron neural networks (mlpnn)","with the rapid expansion of cities, monitoring urban sprawl is recognized as a vital tool by many researchers who use this information in several applications like urban planning, microclimate modelling, policy development, etc. however, accurate land cover (lc) prediction is still challenging, even with technological advancements. machine learning (ml) and artificial intelligence (ai) have gained a reputation amongst diverse science applications, including their popularity in monitoring land cover. therefore, the present study investigates the performance of the ml-based classification algorithm random forest (rf) in monitoring lc classes for 2016 and 2021 for the metropolitan region of kuwait city, kuwait. the accuracy assessment for the derived land use maps achieved an overall accuracy of 93.6% and 95.3% and kappa coefficient values of 0.86 and 0.93 for 2016 and 2021, respectively. the results show an increase in built-up cover by ∼11 %. the land use maps for 2016 and 2021 were further used to predict the urban built-up for 2026 using an artificial neural network (ann) based on multi-layer perceptron neural networks (mlpnns). it was predicted with an overall accuracy of 83.6%. the built-up was predicted to increase by 15% in 2021–2026, and mostly expansion was observed on the western and southern sides. the outcomes exhibit that mlpnn techniques combined with remote sensing and geographic information systems (rs and gis) can be adopted to derive the land cover and predict the urban sprawl with fair accuracy and precision. such studies would prove valuable to city governments and urban planners to improve future sustainable development strategies.",2023,"10.1016/j.ejrs.2023.05.003","YES","YES"
56,"nina","not vetted",181,"YES","earth observation and biodiversity big data for forest habitat types classification and mapping.","in the light of the ""biological diversity"" concept, habitats are cardinal pieces for biodiversity quantitative estimation at a local and global scale. in europe eunis (european nature information system) is a system tool for habitat identification and assessment. earth observation (eo) data, which are acquired by satellite sensors, offer new opportunities for environmental sciences and they are revolutionizing the methodologies applied. these are providing unprecedented insights for habitat monitoring and for evaluating the sustainable development goals (sdgs) indicators. this paper shows the results of a novel approach for a spatially explicit habitat mapping in italy at a national scale, using a supervised machine learning model (smlm), through the combination of vegetation plot database (as response variable), and both spectral and environmental predictors. the procedure integrates forest habitat data in italy from the european vegetation archive (eva), with sentinel-2 imagery processing (vegetation indices time series, spectral indices, and single bands spectral signals) and environmental data variables (i.e., climatic and topographic), to parameterize a random forests (rf) classifier. the obtained results classify 24 forest habitats according to the eunis iii level: 12 broadleaved deciduous (t1), 4 broadleaved evergreen (t2) and eight needleleaved forest habitats (t3), and achieved an overall accuracy of 87% at the eunis ii level classes (t1, t2, t3), and an overall accuracy of 76.14% at the eunis iii level. the highest overall accuracy value was obtained for the broadleaved evergreen forest equal to 91%, followed by 76% and 68% for needleleaved and broadleaved deciduous habitat forests, respectively. the results of the proposed methodology open the way to increase the eunis habitat categories to be mapped together with their geographical extent, and to test different semi-supervised machine learning algorithms and ensemble modelling methods. [abstract from author]",2021,"10.3390/rs13071231","YES","YES"
57,"nina","not vetted",191,"YES","toward model-generated household listing in low- and middle-income countries using deep learning.","while governments, researchers, and ngos are exploring ways to leverage big data sources for sustainable development, household surveys are still a critical source of information for dozens of the 232 indicators for the sustainable development goals (sdgs) in low- and middle-income countries (lmics). though some countries' statistical agencies maintain databases of persons or households for sampling, conducting household surveys in lmics is complicated due to incomplete, outdated, or inaccurate sampling frames. as a means to develop or update household listings in lmics, this paper explores the use of machine learning models to detect and enumerate building structures directly from satellite imagery in the kaduna state of nigeria. specifically, an object detection model was used to identify and locate buildings in satellite images. in the test set, the model attained a mean average precision (map) of 0.48 for detecting structures, with relatively higher values in areas with lower building density (map = 0.65). furthermore, when model predictions were compared against recent household listings from fieldwork in nigeria, the predictions showed high correlation with household coverage (pearson = 0.70; spearman = 0.81). with the need to produce comparable, scalable sdg indicators, this case study explores the feasibility and challenges of using object detection models to help develop timely enumerated household lists in lmics. [abstract from author]",2018,"10.3390/ijgi7110448","YES","YES"
